"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"09/01/2023 12:00:00 - 09/01/2023 13:00:00","BZN|SE3","Without Sequence","136.49","",""
"09/01/2023 13:00:00 - 09/01/2023 14:00:00","BZN|SE3","Without Sequence","133.96","",""
"09/01/2023 14:00:00 - 09/01/2023 15:00:00","BZN|SE3","Without Sequence","139.12","",""
"09/01/2023 15:00:00 - 09/01/2023 16:00:00","BZN|SE3","Without Sequence","146.39","",""
"09/01/2023 16:00:00 - 09/01/2023 17:00:00","BZN|SE3","Without Sequence","156.85","",""
"09/01/2023 17:00:00 - 09/01/2023 18:00:00","BZN|SE3","Without Sequence","164.68","",""
"09/01/2023 18:00:00 - 09/01/2023 19:00:00","BZN|SE3","Without Sequence","163.34","",""
"09/01/2023 19:00:00 - 09/01/2023 20:00:00","BZN|SE3","Without Sequence","157.70","",""
"09/01/2023 20:00:00 - 09/01/2023 21:00:00","BZN|SE3","Without Sequence","145.07","",""
"09/01/2023 21:00:00 - 09/01/2023 22:00:00","BZN|SE3","Without Sequence","134.62","",""
"09/01/2023 22:00:00 - 09/01/2023 23:00:00","BZN|SE3","Without Sequence","83.84","",""
"09/01/2023 23:00:00 - 10/01/2023 00:00:00","BZN|SE3","Without Sequence","80.59","",""
"10/01/2023 00:00:00 - 10/01/2023 01:00:00","BZN|SE3","Without Sequence","76.05","",""
"10/01/2023 01:00:00 - 10/01/2023 02:00:00","BZN|SE3","Without Sequence","79.95","",""
"10/01/2023 02:00:00 - 10/01/2023 03:00:00","BZN|SE3","Without Sequence","78.82","",""
"10/01/2023 03:00:00 - 10/01/2023 04:00:00","BZN|SE3","Without Sequence","80.06","",""
"10/01/2023 04:00:00 - 10/01/2023 05:00:00","BZN|SE3","Without Sequence","83.16","",""
"10/01/2023 05:00:00 - 10/01/2023 06:00:00","BZN|SE3","Without Sequence","91.02","",""
"10/01/2023 06:00:00 - 10/01/2023 07:00:00","BZN|SE3","Without Sequence","132.65","",""
"10/01/2023 07:00:00 - 10/01/2023 08:00:00","BZN|SE3","Without Sequence","149.94","",""
"10/01/2023 08:00:00 - 10/01/2023 09:00:00","BZN|SE3","Without Sequence","160.53","",""
"10/01/2023 09:00:00 - 10/01/2023 10:00:00","BZN|SE3","Without Sequence","155.77","",""
"10/01/2023 10:00:00 - 10/01/2023 11:00:00","BZN|SE3","Without Sequence","149.94","",""
"10/01/2023 11:00:00 - 10/01/2023 12:00:00","BZN|SE3","Without Sequence","141.91","",""
"10/01/2023 12:00:00 - 10/01/2023 13:00:00","BZN|SE3","Without Sequence","140.07","",""
"10/01/2023 13:00:00 - 10/01/2023 14:00:00","BZN|SE3","Without Sequence","139.97","",""
"10/01/2023 14:00:00 - 10/01/2023 15:00:00","BZN|SE3","Without Sequence","141.92","",""
"10/01/2023 15:00:00 - 10/01/2023 16:00:00","BZN|SE3","Without Sequence","142.42","",""
"10/01/2023 16:00:00 - 10/01/2023 17:00:00","BZN|SE3","Without Sequence","139.31","",""
"10/01/2023 17:00:00 - 10/01/2023 18:00:00","BZN|SE3","Without Sequence","142.83","",""
"10/01/2023 18:00:00 - 10/01/2023 19:00:00","BZN|SE3","Without Sequence","137.08","",""
"10/01/2023 19:00:00 - 10/01/2023 20:00:00","BZN|SE3","Without Sequence","121.46","",""
"10/01/2023 20:00:00 - 10/01/2023 21:00:00","BZN|SE3","Without Sequence","105.64","",""
"10/01/2023 21:00:00 - 10/01/2023 22:00:00","BZN|SE3","Without Sequence","86.53","",""
"10/01/2023 22:00:00 - 10/01/2023 23:00:00","BZN|SE3","Without Sequence","79.35","",""
"10/01/2023 23:00:00 - 11/01/2023 00:00:00","BZN|SE3","Without Sequence","55.77","",""
"11/01/2023 00:00:00 - 11/01/2023 01:00:00","BZN|SE3","Without Sequence","42.03","",""
"11/01/2023 01:00:00 - 11/01/2023 02:00:00","BZN|SE3","Without Sequence","27.73","",""
"11/01/2023 02:00:00 - 11/01/2023 03:00:00","BZN|SE3","Without Sequence","25.17","",""
"11/01/2023 03:00:00 - 11/01/2023 04:00:00","BZN|SE3","Without Sequence","22.57","",""
"11/01/2023 04:00:00 - 11/01/2023 05:00:00","BZN|SE3","Without Sequence","25.49","",""
"11/01/2023 05:00:00 - 11/01/2023 06:00:00","BZN|SE3","Without Sequence","26.60","",""
"11/01/2023 06:00:00 - 11/01/2023 07:00:00","BZN|SE3","Without Sequence","48.54","",""
"11/01/2023 07:00:00 - 11/01/2023 08:00:00","BZN|SE3","Without Sequence","71.49","",""
"11/01/2023 08:00:00 - 11/01/2023 09:00:00","BZN|SE3","Without Sequence","72.71","",""
"11/01/2023 09:00:00 - 11/01/2023 10:00:00","BZN|SE3","Without Sequence","69.96","",""
"11/01/2023 10:00:00 - 11/01/2023 11:00:00","BZN|SE3","Without Sequence","68.89","",""
"11/01/2023 11:00:00 - 11/01/2023 12:00:00","BZN|SE3","Without Sequence","69.29","",""
"11/01/2023 12:00:00 - 11/01/2023 13:00:00","BZN|SE3","Without Sequence","68.86","",""
"11/01/2023 13:00:00 - 11/01/2023 14:00:00","BZN|SE3","Without Sequence","66.80","",""
"11/01/2023 14:00:00 - 11/01/2023 15:00:00","BZN|SE3","Without Sequence","69.52","",""
"11/01/2023 15:00:00 - 11/01/2023 16:00:00","BZN|SE3","Without Sequence","75.91","",""
"11/01/2023 16:00:00 - 11/01/2023 17:00:00","BZN|SE3","Without Sequence","76.84","",""
"11/01/2023 17:00:00 - 11/01/2023 18:00:00","BZN|SE3","Without Sequence","74.08","",""
"11/01/2023 18:00:00 - 11/01/2023 19:00:00","BZN|SE3","Without Sequence","75.08","",""
"11/01/2023 19:00:00 - 11/01/2023 20:00:00","BZN|SE3","Without Sequence","67.99","",""
